,End Date,EndStation Id,EndStation Name,Start Date,StartStation Id,StartStation Name,Slat,Slon,Elat,Elon
91,01/01/2021 00:45,160,"Waterloo Place, St. James's",21-01-01 00:14,83,"Panton Street, West End",51.50963938,-0.131510949,51.50663341,-0.131773845
90,01/01/2021 00:46,160,"Waterloo Place, St. James's",21-01-01 00:14,83,"Panton Street, West End",51.50963938,-0.131510949,51.50663341,-0.131773845
89,01/01/2021 00:34,354,"Northumberland Avenue, Strand",21-01-01 00:14,83,"Panton Street, West End",51.50963938,-0.131510949,51.506767,-0.123702
87,01/01/2021 00:25,138,"Green Street, Mayfair",21-01-01 00:14,99,"Old Quebec Street, Marylebone",51.51457763,-0.158264483,51.51227622,-0.157436972
86,01/01/2021 00:31,354,"Northumberland Avenue, Strand",21-01-01 00:14,842,"Temple Gardens, Temple",51.510981,-0.10832249,51.506767,-0.123702
85,01/01/2021 00:26,268,"Belgrave Road, Victoria",21-01-01 00:14,376,"Millbank Tower, Pimlico",51.49188409,-0.125674815,51.49320445,-0.144132875
84,01/01/2021 00:26,268,"Belgrave Road, Victoria",21-01-01 00:14,376,"Millbank Tower, Pimlico",51.49188409,-0.125674815,51.49320445,-0.144132875
88,02/01/2021 16:09,195,"Milroy Walk, South Bank",21-01-01 00:14,338,"Wellington Street , Strand",51.51175646,-0.119643424,51.50724437,-0.106237501
99,01/01/2021 03:54,294,"St. George's Square, Pimlico",21-01-01 00:15,83,"Panton Street, West End",51.50963938,-0.131510949,51.488226,-0.135635511
102,01/01/2021 00:50,815,"Lambeth Palace Road, Waterloo",21-01-01 00:15,108,"Abbey Orchard Street, Westminster",51.49812559,-0.132102166,51.5000892,-0.116628701
101,01/01/2021 00:30,136,"Queen Victoria Street, St. Paul's",21-01-01 00:15,126,"Museum of London, Barbican",51.51782144,-0.096496865,51.51196176,-0.097441687
98,01/01/2021 00:33,428,"Exhibition Road, Knightsbridge",21-01-01 00:15,356,"South Kensington Station, South Kensington",51.494412,-0.173881,51.499917,-0.174554
